"year","death1c","age","male","female"
2017,"RegionA",1,245,456
2018,"RegionA",1,346,27
2019,"RegionA",1,234,458
2020,"RegionA",1,355,459
2021,"RegionA",1,123,460
2022,"RegionA",1,334,461
2023,"RegionA",1,234,52
2017,"RegionB",1,335,456
2018,"RegionB",1,123,245
2019,"RegionB",1,124,52
2020,"RegionB",1,334,459
2021,"RegionB",1,123,523
2022,"RegionB",1,124,461
2023,"RegionB",1,42,63
2017,"RegionC",1,234,456
2018,"RegionC",1,123,523
2019,"RegionC",1,724,458
2020,"RegionC",1,316,459
2021,"RegionC",1,247,460
2022,"RegionC",1,124,236
2023,"RegionC",1,234,243
2017,"RegionD",1,234,456
2018,"RegionD",1,453,457
2019,"RegionD",1,257,7527
2020,"RegionD",1,247,459
2021,"RegionD",1,123,460
2022,"RegionD",1,124,247
2023,"RegionD",1,275,462
2017,"RegionA",2,245,456
2018,"RegionA",2,346,27
2019,"RegionA",2,234,458
2020,"RegionA",2,355,459
2021,"RegionA",2,123,460
2022,"RegionA",2,334,461
2023,"RegionA",2,234,52
2017,"RegionB",2,335,456
2018,"RegionB",2,123,245
2019,"RegionB",2,124,52
2020,"RegionB",2,334,459
2021,"RegionB",2,123,523
2022,"RegionB",2,124,461
2023,"RegionB",2,42,63
2017,"RegionC",2,234,456
2018,"RegionC",2,123,523
2019,"RegionC",2,724,458
2020,"RegionC",2,316,459
2021,"RegionC",2,247,460
2022,"RegionC",2,124,236
2023,"RegionC",2,234,243
2017,"RegionD",2,234,456
2018,"RegionD",2,453,457
2019,"RegionD",2,257,7527
2020,"RegionD",2,247,459
2021,"RegionD",2,123,460
2022,"RegionD",2,124,247
2023,"RegionD",2,275,462
2017,"RegionA",3,245,456
2018,"RegionA",3,346,27
2019,"RegionA",3,234,458
2020,"RegionA",3,355,459
2021,"RegionA",3,123,460
2022,"RegionA",3,334,461
2023,"RegionA",3,234,52
2017,"RegionB",3,335,456
2018,"RegionB",3,123,245
2019,"RegionB",3,124,52
2020,"RegionB",3,334,459
2021,"RegionB",3,123,523
2022,"RegionB",3,124,461
2023,"RegionB",3,42,63
2017,"RegionC",3,234,456
2018,"RegionC",3,123,523
2019,"RegionC",3,724,458
2020,"RegionC",3,316,459
2021,"RegionC",3,247,460
2022,"RegionC",3,124,236
2023,"RegionC",3,234,243
2017,"RegionD",3,234,456
2018,"RegionD",3,453,457
2019,"RegionD",3,257,7527
2020,"RegionD",3,247,459
2021,"RegionD",3,123,460
2022,"RegionD",3,124,247
2023,"RegionD",3,275,462
2017,"RegionA",4,245,456
2018,"RegionA",4,346,27
2019,"RegionA",4,234,458
2020,"RegionA",4,355,459
2021,"RegionA",4,123,460
2022,"RegionA",4,334,461
2023,"RegionA",4,234,52
2017,"RegionB",4,335,456
2018,"RegionB",4,123,245
2019,"RegionB",4,124,52
2020,"RegionB",4,334,459
2021,"RegionB",4,123,523
2022,"RegionB",4,124,461
2023,"RegionB",4,42,63
2017,"RegionC",4,234,456
2018,"RegionC",4,123,523
2019,"RegionC",4,724,458
2020,"RegionC",4,316,459
2021,"RegionC",4,247,460
